品種,年度,場所,発病率,日最大風速10m/s以上日数(日)_12_中旬,日最大風速10m/s以上日数(日)_12_下旬,日最大風速10m/s以上日数(日)_1_上旬,日最大風速10m/s以上日数(日)_1_中旬,日最大風速10m/s以上日数(日)_1_下旬,日最大風速10m/s以上日数(日)_2_上旬,日最大風速10m/s以上日数(日)_3_上旬,日最大風速10m/s以上日数(日)_3_中旬,日最大風速10m/s以上日数(日)_3_下旬,日最大風速10m/s以上日数(日)_4_中旬,日降水量10mm以上日数(日)_12_上旬,日降水量10mm以上日数(日)_12_中旬,日降水量10mm以上日数(日)_12_下旬,日降水量10mm以上日数(日)_1_上旬,日降水量10mm以上日数(日)_1_中旬,日降水量10mm以上日数(日)_1_下旬,日降水量10mm以上日数(日)_2_下旬,日降水量10mm以上日数(日)_3_下旬,日降水量10mm以上日数(日)_4_上旬,平均気温(℃)_12_中旬,平均気温(℃)_1_下旬,平均気温(℃)_2_上旬,平均気温(℃)_3_上旬,平均気温(℃)_4_上旬,日最高気温の平均(℃)_12_上旬,日最高気温の平均(℃)_2_下旬,日最高気温の平均(℃)_3_中旬,日最高気温の平均(℃)_4_中旬,日最低気温の平均(℃)_12_中旬,日最低気温の平均(℃)_12_下旬,日最低気温の平均(℃)_1_上旬,日最低気温の平均(℃)_1_中旬,日最低気温の平均(℃)_1_下旬,日最低気温の平均(℃)_2_上旬,日最低気温の平均(℃)_2_中旬,日最低気温の平均(℃)_3_上旬,日最低気温の平均(℃)_3_下旬,降水量の合計(mm)_12_上旬,降水量の合計(mm)_1_上旬,降水量の合計(mm)_1_下旬,降水量の合計(mm)_2_中旬,降水量の合計(mm)_3_上旬,降水量の合計(mm)_3_中旬,降水量の合計(mm)_4_中旬,日照時間(時間)_12_上旬,日照時間(時間)_12_中旬,日照時間(時間)_12_下旬,日照時間(時間)_1_上旬,日照時間(時間)_1_中旬,日照時間(時間)_1_下旬,日照時間(時間)_2_上旬,日照時間(時間)_2_中旬,日照時間(時間)_2_下旬,日照時間(時間)_3_上旬,日照時間(時間)_3_中旬,日照時間(時間)_3_下旬,日照時間(時間)_4_上旬,日照時間(時間)_4_中旬,平均風速(m/s)_12_上旬,平均風速(m/s)_1_上旬,平均風速(m/s)_1_下旬,平均風速(m/s)_2_上旬,平均風速(m/s)_2_中旬,平均風速(m/s)_2_下旬,平均風速(m/s)_3_上旬,平均風速(m/s)_3_中旬,平均風速(m/s)_3_下旬,平均風速(m/s)_4_上旬,平均風速(m/s)_4_中旬,日降水量の最大(mm)_12_中旬,日降水量の最大(mm)_2_上旬,日降水量の最大(mm)_3_下旬,最大風速(m/s)_12_上旬,最大風速(m/s)_12_中旬,最大風速(m/s)_12_下旬,最大風速(m/s)_1_上旬,最大風速(m/s)_1_中旬,最大風速(m/s)_2_中旬,最大風速(m/s)_2_下旬,最大風速(m/s)_3_上旬,最大風速(m/s)_3_中旬,最大風速(m/s)_3_下旬,最大風速(m/s)_4_上旬,最大風速(m/s)_4_中旬
ターザン,2014,avg,0.5357142857142857,5,3,0,2,1,0,0,1,1,0,2,1,1,1,0,0,1,2,0,6.7,5.9,5.2,5.8,10.7,14.4,12.6,14.5,17.5,3.4,2.5,0.3,-1.2,0.1,1.1,0.6,1.8,6.7,65.5,23.0,9.5,12.0,20.0,46.5,7.5,66.4,24.2,55.4,58.0,63.1,67.7,31.8,41.2,54.7,59.1,63.7,71.3,80.4,59.6,2.7,2.4,2.3,2.3,3.1,2.0,2.9,2.6,3.0,2.2,1.9,20.5,14.5,15.5,12.4,11.3,12.9,9.4,10.8,12.4,7.9,9.8,10.5,11.5,12.2,6.5
ターザン,2015,avg,0.91875,6,2,3,2,4,3,4,0,0,1,1,1,1,0,1,3,1,0,1,6.2,5.8,4.5,6.7,13.1,11.4,12.3,13.8,18.6,3.9,1.4,2.7,1.7,1.7,0.9,2.3,3.2,4.4,14.5,1.0,43.0,2.5,82.5,51.5,32.0,44.6,25.3,65.0,53.0,41.9,44.8,55.9,67.1,36.1,41.1,46.5,100.3,16.2,46.5,4.5,4.6,2.9,3.9,3.7,2.8,3.7,2.6,2.3,2.7,2.9,63.5,0.0,4.0,11.6,14.4,12.5,13.7,11.8,10.9,9.4,12.8,9.2,7.4,9.2,11.1
ターザン,2016,avg,1.607142857142857,2,0,0,3,1,1,0,0,0,2,2,1,2,0,0,1,0,0,2,10.1,5.0,5.3,9.9,15.0,15.5,11.0,14.1,19.6,6.2,4.2,4.3,1.7,1.4,0.6,2.8,5.1,3.3,62.0,0.0,42.0,93.5,39.0,42.0,27.0,52.4,37.0,59.3,48.7,58.4,31.8,62.1,58.0,53.8,57.9,67.1,85.7,37.7,80.0,3.0,2.7,2.9,2.7,3.8,3.0,2.7,2.7,2.2,2.4,3.3,97.0,5.0,0.5,10.3,11.8,8.7,8.8,12.2,12.3,12.1,8.8,8.1,6.9,9.7,12.7
ターザン,2017,avg,0.6875,0,2,1,5,2,3,2,1,0,2,0,1,1,1,0,0,0,2,1,7.6,4.7,5.6,7.1,12.9,15.1,11.7,13.8,20.1,3.1,4.0,2.8,1.0,-0.1,1.8,1.5,1.5,4.8,6.5,27.0,1.5,2.5,2.5,4.5,31.0,54.2,38.6,44.9,60.9,58.8,55.8,53.6,58.0,60.3,60.7,76.1,52.8,51.9,77.4,2.4,2.7,3.1,3.9,3.3,2.9,2.8,2.5,2.2,2.5,3.0,54.0,10.5,16.5,9.6,8.6,10.6,10.6,13.7,10.5,11.5,11.5,10.8,8.3,7.5,10.9
ターザン,2018,avg,0.09375,3,3,2,0,2,0,2,0,0,1,0,0,1,1,1,0,0,1,0,5.5,2.7,2.6,8.8,13.4,11.4,12.2,15.5,20.6,2.2,2.1,2.4,1.0,-0.7,-0.9,-0.5,3.6,4.7,12.0,23.0,3.5,1.0,67.5,40.0,17.5,58.7,42.9,51.0,48.8,63.6,48.4,61.1,64.0,52.3,55.3,65.6,103.1,77.5,70.3,3.3,3.5,4.2,3.6,3.0,1.9,3.4,2.3,2.3,3.0,2.8,0.5,25.0,30.0,11.0,11.1,11.6,12.2,9.0,10.9,11.8,11.6,8.1,9.4,10.9,10.5
ターザン,2019,avg,0.3125,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,2,8.0,5.6,7.0,8.9,10.8,15.1,13.2,13.8,18.8,3.5,3.9,1.3,1.4,0.0,2.3,2.5,4.7,5.5,7.5,0.0,13.0,15.5,39.5,27.5,22.0,26.1,30.6,38.7,40.3,52.5,58.8,47.5,44.9,41.0,49.2,72.4,63.8,93.1,84.6,2.9,2.7,2.9,2.3,2.4,2.0,2.3,3.1,2.7,2.8,2.4,14.5,25.0,9.5,10.6,9.7,11.1,9.3,9.8,8.3,6.3,8.7,11.1,9.7,10.9,6.8
ターザン,2020,avg,1.583333333333333,0,1,2,0,0,2,2,2,0,3,1,0,3,1,0,2,1,0,1,9.0,8.3,5.1,9.4,11.2,13.9,13.4,14.9,17.5,3.9,4.1,5.3,2.7,5.2,-0.5,3.4,5.4,6.2,15.0,15.0,47.5,31.0,53.5,23.5,82.5,46.4,42.8,43.9,57.1,44.9,34.5,63.9,52.5,48.5,50.9,75.2,63.6,87.4,70.5,2.7,3.6,2.8,2.7,3.1,2.4,2.5,2.8,2.3,2.6,3.6,1.0,0.0,8.0,10.2,8.6,13.0,13.1,8.6,11.3,9.3,11.2,11.5,8.8,12.4,12.2
ターザン,2021,avg,0.34375,3,3,2,1,2,1,1,2,0,1,0,0,0,0,0,1,0,2,0,7.9,7.2,7.1,9.6,12.9,15.7,14.2,17.1,18.9,5.1,2.0,0.3,0.2,3.0,1.0,3.5,4.3,7.1,0.0,0.0,38.0,21.0,21.5,61.0,29.0,69.0,36.0,55.4,48.3,66.9,54.0,78.3,65.1,56.1,50.2,72.5,80.3,77.0,75.4,2.0,5.0,2.8,3.1,3.7,1.9,2.7,2.3,2.7,2.2,3.1,0.0,3.0,22.0,6.9,11.7,14.5,13.5,10.2,10.7,7.7,11.5,10.6,9.6,7.3,11.1
ターザン,2022,avg,0.1875,2,5,2,5,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,8.7,5.1,4.8,7.0,12.4,14.1,10.5,18.7,21.4,3.4,2.4,0.1,1.4,0.5,0.8,-0.5,1.3,6.5,4.5,0.5,12.0,27.0,4.0,38.5,24.5,53.6,62.3,68.5,67.2,50.4,50.9,66.3,60.5,63.5,78.1,65.2,51.8,93.8,75.3,2.8,2.3,2.1,3.9,3.4,3.3,2.3,2.1,2.7,2.1,2.2,6.5,0.5,22.0,13.7,15.6,15.1,10.2,12.2,13.1,11.0,9.9,8.2,11.6,6.7,7.2
ターザン,2023,avg,0.40625,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,2,1,6.8,3.5,5.7,9.4,13.9,13.8,11.4,17.7,19.6,3.0,2.3,2.5,3.1,-0.3,0.8,2.4,2.8,8.4,2.0,0.5,15.5,9.5,1.5,30.0,53.5,51.5,36.2,68.4,70.5,49.7,57.0,52.6,47.8,52.7,86.2,76.5,58.6,73.1,64.6,2.4,3.5,3.8,1.9,2.4,1.7,2.1,2.5,2.0,3.4,2.7,6.5,5.5,25.0,9.1,11.5,10.7,9.1,8.6,9.3,6.2,8.4,11.2,6.7,9.0,8.6
